# index, _pos
461,"array([-1.49335898, -1.03363123])"
462,"array([-1.36839645, -0.54982717])"
463,"array([-1.47573512, -0.52208029])"
464,"array([-1.33842087, -0.651738  ])"
465,"array([-1.51147843, -0.51544693])"
466,"array([-1.262015  , -0.80843215])"
467,"array([-1.48221704, -0.54728233])"
468,"array([-1.32241206, -0.63874044])"
469,"array([-1.31852355, -0.69544255])"
470,"array([-1.35084211, -0.47501103])"
471,"array([-1.27415007, -0.96621676])"
472,"array([-1.29703211, -0.97114691])"
473,"array([-1.23263821, -1.03709818])"
474,"array([-0.14835535,  0.7186509 ])"
475,"array([-0.24326514,  0.76913429])"
476,"array([-0.08048168,  0.9031325 ])"
477,"array([-0.10856189,  0.89641756])"
478,"array([-0.11938904,  0.86864842])"
479,"array([-0.12537734,  0.81417081])"
480,"array([-0.13313215,  0.85774072])"
481,"array([-0.12707373,  0.74362093])"
482,"array([-0.14037396,  0.97943442])"
483,"array([-0.05225533,  1.0135318 ])"
484,"array([-0.11570318,  0.93908138])"
485,"array([-0.12043423,  0.95738871])"
486,"array([-0.10696101,  0.98862521])"
487,"array([-0.08832455,  0.78204977])"
488,"array([-1.58946328, -1.86330481])"
489,"array([-0.12557181,  0.98497842])"
490,"array([ 0.06225163, -0.18720934])"
491,"array([-0.10666932,  0.76453986])"
492,"array([-0.14058086,  0.89302128])"
493,"array([-0.1668573 ,  0.87517017])"
494,"array([-0.1252775 ,  1.00737145])"
495,"array([-0.1585467 ,  0.95822744])"
496,"array([-0.16935839,  0.92523526])"
497,"array([-0.13493188,  0.92777239])"
498,"array([-0.11459755,  0.91473369])"
499,"array([-0.1875192,  0.9554582])"
500,"array([-0.23559339,  0.39792158])"
501,"array([-0.2141224 ,  0.40230525])"
502,"array([-0.04570324,  0.34223016])"
503,"array([-0.05441095,  0.30299308])"
504,"array([-0.06445624,  0.32367025])"
505,"array([-0.16649248,  0.33339228])"
506,"array([-0.20375267,  0.47167672])"
507,"array([-0.19348006,  0.48211278])"
508,"array([-0.18915748,  0.52326874])"
509,"array([-0.20090282,  0.57680893])"
510,"array([-0.26654941,  0.5560292 ])"
511,"array([-0.21846963,  0.33355136])"
512,"array([-0.21464384,  0.30401432])"
513,"array([-0.23918057,  0.31713231])"
514,"array([-0.42447094,  0.52117896])"
515,"array([-1.37506251,  0.30010504])"
516,"array([-1.38459523,  0.2478988 ])"
517,"array([-1.34684237,  0.25965072])"
518,"array([-1.28372175,  0.2172265 ])"
519,"array([-1.37030769,  0.27409783])"
520,"array([-1.36197337,  0.24018445])"
521,"array([-0.46076236,  0.52928223])"
522,"array([-0.37398657,  0.51457766])"
523,"array([-0.08995008,  0.29909341])"
524,"array([-0.08854573,  0.26216582])"
525,"array([-0.06713201,  0.27053343])"
526,"array([-0.17372246,  0.27634429])"
527,"array([-0.16266724,  0.25267997])"
528,"array([-0.07708646,  0.23228382])"
529,"array([-0.07642833,  0.2050377 ])"
530,"array([-0.05474096,  0.24166571])"
531,"array([-0.03667487,  0.22273481])"
532,"array([-0.12623897,  0.33367981])"
533,"array([-0.19841397,  0.38675988])"
534,"array([-0.2219091 ,  0.34921332])"
535,"array([-0.09274321,  0.48217741])"
536,"array([-0.06633497,  0.4607286 ])"
537,"array([-0.03993115,  0.46555897])"
538,"array([-0.20275099,  0.32871587])"
539,"array([-0.24248543,  0.47996093])"
540,"array([-0.29379934,  0.4739124 ])"
541,"array([-0.2938904 ,  0.48912948])"
542,"array([-0.2299184 ,  0.42826349])"
543,"array([-0.23775992,  0.51523331])"
544,"array([-0.22347024,  0.51847938])"
545,"array([-0.21717275,  0.54483809])"
546,"array([-0.15729258,  0.46195299])"
547,"array([-0.12910008,  0.37859579])"
548,"array([-0.15210418,  0.35346859])"
549,"array([-0.18234367,  0.38037844])"
550,"array([-0.21871856,  0.37232755])"
551,"array([-0.19001311,  0.34454766])"
552,"array([-0.14507348,  0.38492784])"
553,"array([-0.13967982,  0.44070847])"
554,"array([-0.15696586,  0.43461591])"
555,"array([-0.13953668,  0.41053056])"
556,"array([-0.08822353,  0.35164794])"
557,"array([-0.07882494,  0.43026405])"
558,"array([-0.11372761,  0.43957972])"
559,"array([-0.12582258,  0.47850881])"
560,"array([-0.2443268 ,  0.56955809])"
561,"array([-0.24472227,  0.54169465])"
562,"array([-0.0940971 ,  0.41468007])"
563,"array([-0.08004702,  0.39269171])"
564,"array([-0.03299139,  0.31317508])"
565,"array([-0.21195873,  0.5010814 ])"
566,"array([-0.1947836 ,  0.50747827])"
567,"array([-0.12999707,  0.29632601])"
568,"array([-0.13890612,  0.32107984])"
569,"array([-0.34451386,  0.47870219])"
570,"array([-0.27051783,  0.43538588])"
571,"array([-0.2026829,  0.6033882])"
572,"array([-0.17862482,  0.58808554])"
573,"array([-0.16570226,  0.37052614])"
574,"array([-0.10117541,  0.50535024])"
575,"array([0.02560551, 1.50906141])"
576,"array([0.4745791 , 1.45350866])"
577,"array([0.11231914, 1.40890352])"
578,"array([0.09286526, 1.39043111])"
579,"array([0.36979905, 1.51839536])"
580,"array([0.25035353, 1.33553341])"
581,"array([0.42121601, 1.46899051])"
582,"array([0.44267297, 1.41556611])"
583,"array([0.46188178, 1.43174711])"
584,"array([0.37606007, 1.35671487])"
585,"array([0.39955098, 1.43216057])"
586,"array([0.45621532, 1.37487817])"
587,"array([0.43373279, 1.35742738])"
588,"array([-0.04419649,  1.5262804 ])"
589,"array([0.1057308 , 1.27031969])"
590,"array([0.09864752, 1.24926806])"
591,"array([0.12394251, 1.28318787])"
592,"array([-0.06590268,  1.54624415])"
593,"array([-0.08584029,  1.57209742])"
594,"array([0.09645411, 1.33545002])"
595,"array([0.07659871, 1.32858207])"
596,"array([0.11018576, 1.3577355 ])"
597,"array([-0.0237598 ,  1.53445124])"
598,"array([-0.04361637,  1.57084177])"
599,"array([-0.00304917,  1.5475368 ])"
600,"array([-0.00360111,  1.56851542])"
601,"array([-0.02405026,  1.55827275])"
602,"array([-0.02328487,  1.57758723])"
603,"array([-0.0206479 ,  1.37784026])"
604,"array([-2.88189891e-04,  1.39746503e+00])"
605,"array([0.03360486, 1.33714382])"
606,"array([-0.02949797,  1.39779488])"
607,"array([0.09858054, 1.44828027])"
608,"array([0.0420852 , 1.48016791])"
609,"array([0.02841602, 1.45729608])"
610,"array([0.0724604 , 1.43538738])"
611,"array([0.01600853, 1.48185603])"
612,"array([0.44227731, 1.45916249])"
613,"array([0.44142429, 1.48525809])"
614,"array([0.41368961, 1.49378754])"
615,"array([0.25860353, 1.36784569])"
616,"array([0.27575752, 1.34380716])"
617,"array([0.44063462, 1.29619225])"
618,"array([0.41923835, 1.31715336])"
619,"array([0.43376269, 1.52284704])"
620,"array([-0.04498167,  1.55124028])"
621,"array([0.26532326, 1.44136312])"
622,"array([0.28210004, 1.41725555])"
623,"array([0.39568533, 1.33105929])"
624,"array([0.40365143, 1.34803478])"
625,"array([0.5011236 , 1.47263668])"
626,"array([0.43881135, 1.50379001])"
627,"array([0.06863844, 1.38060454])"
628,"array([0.06853822, 1.35889346])"
629,"array([-0.10057333,  1.52841848])"
630,"array([-0.07234131,  1.51725481])"
631,"array([0.35036713, 1.35167792])"
632,"array([0.35778522, 1.32994254])"
633,"array([0.31097505, 1.28556166])"
634,"array([0.31361798, 1.32038655])"
635,"array([0.42170517, 1.56827283])"
636,"array([0.4038434 , 1.53958529])"
637,"array([0.58671472, 1.47349991])"
638,"array([0.30040401, 1.37953252])"
639,"array([0.3108091 , 1.35199122])"
640,"array([0.47449175, 1.48251964])"
641,"array([0.49398429, 1.51045778])"
642,"array([0.02819025, 1.39407114])"
643,"array([0.33181772, 1.54001233])"
644,"array([0.34388195, 1.50934996])"
645,"array([0.50403391, 1.42495118])"
646,"array([0.53271704, 1.41376201])"
647,"array([0.35692711, 1.57967178])"
648,"array([0.36582743, 1.5469477 ])"
649,"array([0.20689194, 1.29559781])"
650,"array([0.23277524, 1.29954063])"
651,"array([0.2760517 , 1.38694226])"
652,"array([0.30248094, 1.30167671])"
653,"array([0.28944699, 1.3577747 ])"
654,"array([0.47936279, 1.33185101])"
655,"array([0.44242713, 1.33664994])"
656,"array([0.01613363, 1.36465086])"
657,"array([0.00395955, 1.45763357])"
658,"array([0.04019847, 1.37469605])"
