# index, as_id, _pos
78,6507,"array([-1.41811468,  0.72844497])"
79,6508,"array([-1.82641336,  1.12328097])"
80,80,"array([-1.65114311,  1.00061734])"
81,81,"array([-1.65244508,  0.41503735])"
82,6509,"array([-1.08041526,  0.81867804])"
83,83,"array([-1.00903649,  0.41796648])"
84,84,"array([-1.0951765 ,  0.42475047])"
85,6510,"array([-1.77503773,  0.23467809])"
86,86,"array([-1.24608636,  0.79804482])"
87,87,"array([-1.41965164,  0.36809884])"
88,88,"array([-1.43956837,  0.7530235 ])"
89,89,"array([-1.21446436,  0.472212  ])"
90,90,"array([-1.63905716,  0.83012935])"
91,14108,"array([-1.61715516,  1.29786666])"
92,6512,"array([-1.76027933,  0.48874988])"
93,11078,"array([-1.20355589,  0.66029093])"
94,11079,"array([-1.3914246 ,  0.91634532])"
95,11080,"array([-1.81188823,  1.01973925])"
96,11081,"array([-1.54289869,  1.25181236])"
97,97,"array([-2.0101064 ,  1.10828548])"
98,6517,"array([-1.78523646,  1.05048581])"
99,99,"array([-2.1323061 ,  0.77823576])"
100,11082,"array([-1.65390967,  1.29336775])"
101,101,"array([-1.47208735,  0.5794187 ])"
102,102,"array([-1.33135465, -0.0346882 ])"
103,103,"array([-1.47993326,  0.87687268])"
104,104,"array([-1.45700453,  0.26610181])"
105,13724,"array([-1.99450285,  0.993371  ])"
106,11084,"array([-0.89827601,  0.66939133])"
107,6521,"array([-1.95579548,  0.59183158])"
108,11085,"array([-0.93872544,  0.61946978])"
109,109,"array([-1.71197493,  0.95563069])"
110,11086,"array([-1.25529194,  0.71156119])"
111,111,"array([-1.38486949,  0.5888031 ])"
112,6524,"array([-1.89758334,  0.60864339])"
113,6525,"array([-1.9251309 ,  1.13635687])"
114,114,"array([-1.32631941,  0.57538665])"
115,11087,"array([-0.95651217,  0.19341812])"
116,14109,"array([-1.89872766,  0.77912794])"
117,6528,"array([-1.93346671,  0.37343431])"
118,11089,"array([-1.48531953,  0.65861315])"
119,6530,"array([-1.69348258,  0.86710558])"
120,11090,"array([-1.53703724,  0.38305624])"
121,6532,"array([-1.44551749,  1.00462415])"
122,6533,"array([-1.3814326,  0.7978558])"
123,6534,"array([-1.46793095,  0.37784838])"
124,6535,"array([-1.75542701,  0.55110432])"
125,125,"array([-1.40801323,  0.3237581 ])"
126,6536,"array([-1.40737967,  0.51679998])"
127,127,"array([-1.33190664,  0.87752949])"
128,6537,"array([-0.7813437 ,  0.51730622])"
129,13726,"array([-1.98190403,  0.4762095 ])"
130,6539,"array([-1.06265077,  0.89498989])"
131,131,"array([-1.13959069,  0.63572534])"
132,132,"array([-1.02654172,  0.42909787])"
133,6540,"array([-2.10684912,  0.68841526])"
134,6541,"array([-1.52674418,  0.91554241])"
135,6542,"array([-1.6428947 ,  0.28692991])"
136,6543,"array([-1.95741061,  1.64889551])"
137,137,"array([-0.85744686,  1.3713966 ])"
138,6544,"array([-1.77991188,  0.61285235])"
139,139,"array([-0.87357415, -0.04044254])"
140,140,"array([-1.37737528,  0.65092293])"
141,11092,"array([-1.6487593 ,  0.79592664])"
142,13727,"array([-2.03325474,  0.73293037])"
143,11094,"array([-1.38858342,  0.90307051])"
144,144,"array([-1.32811862,  0.65921844])"
145,145,"array([-1.32321588,  0.49725155])"
146,11095,"array([-1.495081  ,  0.17112423])"
147,32774,"array([-1.44012696, -0.28929945])"
148,6550,"array([-1.64403045,  0.61438942])"
149,149,"array([-0.95096578,  0.51183548])"
150,11097,"array([-2.2767855,  0.967877 ])"
151,151,"array([-2.09374898,  1.19809293])"
152,13729,"array([-2.12268586,  0.83750913])"
153,6553,"array([-1.43168376,  1.07082289])"
154,6554,"array([-1.63528744,  0.48920612])"
155,6555,"array([-1.70904522,  0.97824733])"
156,11099,"array([-2.28398006,  0.77930694])"
157,157,"array([-1.62133885,  0.69142813])"
158,11100,"array([-1.93225437,  0.85080527])"
159,159,"array([-1.58320535,  0.23331659])"
160,160,"array([-1.43390705,  0.78285329])"
161,161,"array([-1.23899972,  0.49084154])"
162,11101,"array([-1.69212035,  0.62118999])"
163,11102,"array([-1.97436899,  0.85887171])"
164,11103,"array([-0.71663861,  0.69274085])"
165,6561,"array([-1.98676938,  1.0804136 ])"
166,11104,"array([-1.70246634,  0.72942151])"
167,167,"array([-1.44657156,  0.35452403])"
168,6563,"array([-1.5492093 ,  0.70199074])"
169,13730,"array([-1.65152194,  0.47688336])"
170,6565,"array([-2.15792946,  1.02455835])"
171,6566,"array([-1.57355981,  0.63350826])"
172,11106,"array([-2.04019307,  0.33839118])"
173,173,"array([-2.10276871,  1.29974958])"
174,174,"array([-1.46543859,  0.95593871])"
175,175,"array([-0.99539684,  0.53979747])"
176,6568,"array([-1.44118672,  0.98696332])"
177,6569,"array([-2.03710739,  0.76270579])"
178,6570,"array([-1.65480049,  0.72724987])"
179,6571,"array([-2.20468619,  0.37627838])"
180,11107,"array([-1.64929115,  0.69867782])"
181,13731,"array([-1.47184334,  0.6604584 ])"
182,11109,"array([-1.73224422,  0.01564056])"
183,6575,"array([-1.70037187,  0.57810527])"
184,6576,"array([-1.97217641,  0.91422519])"
185,6577,"array([-2.08145836,  0.83259907])"
186,11110,"array([-2.02617944,  1.02290748])"
187,11111,"array([-1.35349078,  0.85862277])"
188,188,"array([-1.2868    ,  1.00758496])"
189,189,"array([-1.70857507,  0.51855081])"
190,6580,"array([-1.58961963,  0.65300323])"
191,14111,"array([-2.11363578,  0.82640237])"
192,6582,"array([-1.48385614,  0.57596793])"
193,14387,"array([-1.95702801,  1.06106554])"
194,194,"array([-1.48409526,  0.34905853])"
195,195,"array([-1.19510568,  0.75089478])"
196,196,"array([-1.3784067 ,  0.57424417])"
197,6584,"array([-1.29327912,  0.46818998])"
198,11114,"array([-1.8798687 ,  0.70375494])"
199,199,"array([-1.24629771,  0.61546391])"
200,200,"array([-1.36293985,  0.58958748])"
201,201,"array([-2.06848256,  0.78829638])"
202,202,"array([-1.74709154,  1.09342385])"
203,6586,"array([-1.57532327,  0.34005775])"
204,204,"array([-1.2560959 ,  0.26086461])"
205,6587,"array([-1.95350156,  0.55546364])"
206,6588,"array([-1.50692335,  1.04669577])"
207,6589,"array([-1.36904544,  0.7031774 ])"
208,6590,"array([-0.93824155,  0.35504938])"
209,209,"array([-1.75095238,  0.52508754])"
210,210,"array([-1.54661638,  0.26295005])"
211,11115,"array([-2.24915087,  0.65814504])"
212,6592,"array([-1.95552977,  0.54103837])"
213,213,"array([-0.88950578,  0.50204273])"
214,11116,"array([-1.6631753 ,  0.88514471])"
215,6594,"array([-1.67445023,  0.5884438 ])"
216,6595,"array([-0.96987533,  1.01852887])"
217,217,"array([-1.56499304,  0.64588908])"
218,13734,"array([-1.85033115,  0.80861071])"
219,219,"array([-0.97321063,  0.02621736])"
220,6597,"array([-1.68334662,  0.63009574])"
221,6598,"array([-1.91791789,  0.84020208])"
222,222,"array([-0.87895708,  0.13423464])"
223,11118,"array([-1.86154647,  0.5438476 ])"
224,224,"array([-0.95703061,  1.54018928])"
225,225,"array([-1.45170362,  0.41501315])"
226,226,"array([-1.63660546,  0.9739506 ])"
227,227,"array([-0.61522923,  0.14645025])"
228,6600,"array([-1.80489396,  0.39111921])"
229,229,"array([-1.42616766,  0.43878553])"
230,6601,"array([-1.80653266,  0.64105456])"
231,6602,"array([-1.73635973,  0.09604818])"
232,6603,"array([-2.22034142,  0.66263549])"
233,11119,"array([-0.69731249,  0.6682388 ])"
234,234,"array([-1.69276054,  1.16879076])"
235,14113,"array([-1.34845882,  0.33236522])"
236,6606,"array([-1.30421474,  0.34193763])"
237,237,"array([-1.66601574,  0.67558059])"
238,238,"array([-1.74014877,  0.41523666])"
239,239,"array([-0.85254692,  0.54584306])"
240,6607,"array([-1.58174488,  0.54571274])"
241,11121,"array([-1.32920661,  0.4578616 ])"
242,13736,"array([-1.5003703 ,  0.72113488])"
243,11123,"array([-1.74271608,  0.78186555])"
244,11124,"array([-1.82221746,  1.20642717])"
245,13737,"array([-1.22903951,  0.82467879])"
246,11126,"array([-2.34806353,  0.26955343])"
247,6614,"array([-1.34757141,  0.7845629 ])"
248,11127,"array([-1.00791105,  1.11008388])"
249,11128,"array([-1.6468271 ,  0.95911394])"
250,11129,"array([-2.10599178,  0.30596556])"
251,13738,"array([-1.26602068,  0.73065007])"
252,252,"array([-1.01583907,  0.47624385])"
253,6619,"array([-2.07784458,  0.84929774])"
254,6620,"array([-1.99660044,  0.66708397])"
255,255,"array([-1.00539994, -0.03785812])"
256,6621,"array([-1.81747449,  1.10953368])"
257,11131,"array([-1.57730605,  0.11863556])"
258,6623,"array([-1.66234933,  0.85292846])"
259,11132,"array([-1.77961901,  0.9749608 ])"
260,11133,"array([-2.0550493 ,  0.67375246])"
261,11134,"array([-1.46095257,  0.46777602])"
262,11135,"array([-1.56930873,  1.08312081])"
263,11136,"array([-0.96859834,  0.26744113])"
264,6629,"array([-1.93525847,  0.52612199])"
265,6630,"array([-1.55341545,  0.73543133])"
266,11137,"array([-1.73571725,  1.11036986])"
267,267,"array([-2.18659465,  0.57124084])"
268,268,"array([-1.34313028,  0.20676146])"
269,13739,"array([-1.60146503,  0.36347364])"
270,270,"array([-1.14681986,  0.79558323])"
271,271,"array([-1.1550399 ,  0.74553092])"
272,272,"array([-1.05527287,  0.02675505])"
273,6633,"array([-1.60179876,  0.6725533 ])"
274,6634,"array([-1.84133731,  0.62940557])"
275,11139,"array([-1.68353985,  1.12150884])"
276,13740,"array([-2.03102855,  0.69504742])"
277,13741,"array([-1.45409681,  0.94836588])"
278,278,"array([-1.13504486,  0.36305001])"
279,6638,"array([-0.9153094 ,  0.61143824])"
280,6639,"array([-1.27392551,  1.15784566])"
281,6640,"array([-1.87469751,  0.56697551])"
282,6641,"array([-1.48587396,  0.61938098])"
283,11142,"array([-2.07750447,  0.80989134])"
284,11143,"array([-1.97006048,  0.43860108])"
285,6644,"array([-1.95220743,  0.94727644])"
286,286,"array([-1.48887752,  1.10039651])"
287,11144,"array([-1.60277858,  1.10687351])"
288,288,"array([-1.22531898,  0.99964099])"
289,6646,"array([-1.44989358,  0.74471145])"
290,11145,"array([-1.32407793,  0.62639144])"
291,291,"array([-1.22199046,  0.88685788])"
292,292,"array([-1.27126261,  1.04706629])"
293,293,"array([-1.52449221,  0.90072306])"
294,6648,"array([-1.86408023,  1.09270201])"
295,11146,"array([-1.30818544,  0.66130656])"
296,6650,"array([-1.68993041,  0.66311126])"
297,297,"array([-1.46061098,  0.84065763])"
298,298,"array([-0.99169029,  0.43356804])"
299,299,"array([-1.13317924,  0.66794524])"
300,11147,"array([-1.529082  ,  0.58630506])"
301,6652,"array([-1.59980712,  0.84487255])"
302,302,"array([-1.16019193,  0.36640713])"
303,303,"array([-0.85305241,  0.38443653])"
304,6653,"array([-1.85862276,  0.60834771])"
305,6654,"array([-1.17840352,  0.90741059])"
306,11148,"array([-1.32081295,  0.60862224])"
307,6656,"array([-1.59321723,  1.38640542])"
308,11149,"array([-1.29385729,  0.4363898 ])"
309,6658,"array([-1.18304111,  2.21983888])"
310,6659,"array([-1.45839481,  1.446349  ])"
311,6660,"array([-1.64700441,  1.01228337])"
312,6661,"array([-1.25858997,  1.30709625])"
313,6662,"array([-0.72861389,  1.2155085 ])"
314,6663,"array([-1.05997614,  1.3555495 ])"
315,6664,"array([-1.39977729,  1.83256234])"
316,6665,"array([-1.53908882,  1.3180464 ])"
317,6666,"array([-1.70127165,  1.48830002])"
318,6667,"array([-1.07973837,  1.5296956 ])"
319,6668,"array([-0.97096953,  1.21859965])"
320,6669,"array([-1.26342305,  1.38472176])"
321,6670,"array([-1.17193483,  1.30259772])"
322,6671,"array([-0.37065922,  1.1189343 ])"
323,14114,"array([-1.72887594,  1.06019463])"
324,6673,"array([-0.60840938,  1.07367166])"
325,11151,"array([-1.78958342,  0.5212517 ])"
326,6675,"array([-1.41939812,  1.66980025])"
327,11152,"array([-1.95961724,  0.64805971])"
328,6677,"array([-1.24044357,  1.1699789 ])"
329,6678,"array([-1.48712954,  1.41269538])"
330,11153,"array([-1.51431081,  0.7119219 ])"
331,11154,"array([-1.50253441,  0.84338931])"
332,11155,"array([-1.96544679,  0.92889047])"
333,11156,"array([-1.9934375 ,  1.66430331])"
334,11157,"array([-1.81060597,  1.40054501])"
335,6684,"array([-1.06879504,  1.54946533])"
336,6685,"array([-1.21966809,  1.44387336])"
337,6686,"array([-1.29290258,  1.5400711 ])"
338,6687,"array([-1.17598627,  1.32893114])"
339,6688,"array([-1.19207277,  1.38957239])"
340,6689,"array([-1.22526803,  1.40775008])"
341,6690,"array([-1.07611706,  1.05355078])"
342,6691,"array([-0.92426098,  1.71458657])"
343,11158,"array([-1.93453227,  1.46225764])"
344,11159,"array([-1.38069215,  0.82802948])"
345,6694,"array([-0.96306983,  0.81139261])"
346,6695,"array([-1.49923346,  1.42878665])"
347,6696,"array([-1.33383359,  1.60738167])"
348,6697,"array([-1.2169788 ,  0.81505696])"
349,11160,"array([-1.5472534,  0.8366086])"
350,6699,"array([-0.10992852,  1.15283571])"
351,6700,"array([-1.25972083,  1.32485551])"
352,13743,"array([-1.62870648,  0.78292664])"
353,6702,"array([-0.67877321,  1.44802525])"
354,6703,"array([-0.82955275,  1.3862131 ])"
355,11162,"array([-1.85075896,  0.35622179])"
356,6705,"array([-1.61346383,  1.62032256])"
357,6706,"array([-1.46744641,  1.5299802 ])"
358,11163,"array([-1.69977794,  0.85452108])"
359,13744,"array([-1.54117159,  0.13138984])"
360,6709,"array([-0.79847445,  1.63163636])"
361,6710,"array([-1.59848726,  1.88705314])"
362,6711,"array([-0.71851767,  1.622447  ])"
363,14115,"array([-1.98431876,  1.22277379])"
364,6713,"array([-1.4944541 ,  0.98888014])"
365,6714,"array([-0.84926455,  1.55642925])"
366,6715,"array([-1.18772227,  1.24098431])"
367,6716,"array([-1.61134616,  1.0043436 ])"
368,6717,"array([-1.71703129,  1.35636529])"
369,6718,"array([-1.51421948,  1.65210423])"
370,6719,"array([-1.25132258,  1.44507399])"
371,6720,"array([-0.90038043,  1.91770003])"
372,6721,"array([-1.61918842,  1.49141493])"
373,6722,"array([-1.08303665,  1.11245185])"
374,374,"array([-0.98103474,  0.49453238])"
375,11166,"array([-1.38923108,  1.25535442])"
376,376,"array([-0.9252355 ,  0.78292732])"
377,377,"array([-1.21017543,  0.79780697])"
378,378,"array([-1.4310836,  1.1306431])"
379,11167,"array([-1.76367054,  0.52653353])"
380,6725,"array([-1.59048309,  1.52171241])"
381,6726,"array([-1.33434355,  1.68419159])"
382,6727,"array([-1.23593042,  1.33713932])"
383,6728,"array([-1.61824524,  1.40886397])"
384,6729,"array([-1.61873257,  1.42955219])"
385,385,"array([-0.83234976, -0.24623855])"
386,6730,"array([-1.18700635,  1.5316266 ])"
387,6731,"array([-1.1164683 ,  1.18573068])"
388,6732,"array([-0.94694525,  1.63717102])"
389,6733,"array([-1.44943084,  1.77561793])"
390,6734,"array([-1.37165978,  1.72433127])"
391,6735,"array([-1.49461827,  1.64400451])"
392,11168,"array([-1.87922715,  0.54669435])"
393,6737,"array([-1.22719161,  2.01585034])"
394,11169,"array([-1.56003576,  0.40155863])"
395,395,"array([-0.85623586,  0.0871084 ])"
396,6739,"array([-1.43415821,  1.86440005])"
397,6740,"array([-1.24632739,  1.62332881])"
398,398,"array([-1.07383761, -0.02577273])"
399,6741,"array([-1.19949542,  1.42740015])"
400,400,"array([-0.90798494, -0.09873353])"
401,6742,"array([-1.45072654,  1.14205271])"
402,6743,"array([-1.28058444,  1.44537485])"
403,6744,"array([-0.54196684,  1.49468533])"
404,6745,"array([-1.5923401 ,  1.18179994])"
405,6746,"array([-0.98669905,  1.34871596])"
406,6747,"array([-1.08061343,  1.34458482])"
407,11170,"array([-1.8005066 ,  0.61924646])"
408,11171,"array([-1.57437029,  0.75162335])"
409,11172,"array([-1.12702881,  0.46516204])"
410,6751,"array([-1.46575597,  1.6636858 ])"
411,6752,"array([-1.18473544,  1.15042874])"
412,412,"array([-0.98084071, -0.05886128])"
413,11173,"array([-1.23956534,  0.39838294])"
414,6754,"array([-1.54933287,  1.63304681])"
415,6755,"array([-1.29693659,  0.89048757])"
416,6756,"array([-0.99457641,  1.63185618])"
417,6757,"array([-1.12731871,  1.36784734])"
418,6758,"array([-1.40757122,  1.40354728])"
419,11174,"array([-1.63194618,  0.90248616])"
420,6760,"array([-1.44607354,  1.40701318])"
421,6761,"array([-1.25127729,  1.50029926])"
422,422,"array([-0.96357402,  0.05275825])"
423,6762,"array([-1.48532482,  1.17709675])"
424,424,"array([-1.02310614, -0.01468263])"
425,6763,"array([-1.39039111,  1.5644141 ])"
426,6764,"array([-1.42468231,  1.64998141])"
427,6765,"array([-1.58609163,  1.33813077])"
428,14116,"array([-0.93350372,  0.82712455])"
429,6767,"array([-0.33593846,  0.99876411])"
430,6768,"array([-0.85984499,  0.87569791])"
431,6769,"array([-0.91062415,  1.48264203])"
432,11176,"array([-1.59920043,  0.86822184])"
433,6771,"array([-1.44515514,  1.29363165])"
434,6772,"array([-1.38030957,  1.46846915])"
435,6773,"array([-0.88946933,  0.96176517])"
436,6774,"array([-1.43418591,  1.21772939])"
437,11177,"array([-1.53141677,  0.43024828])"
438,6776,"array([-1.14134255,  1.74813869])"
439,11178,"array([-1.63458087,  0.95144988])"
440,440,"array([-0.90825526, -0.02885973])"
441,6778,"array([-1.06474214,  1.2791771 ])"
442,6779,"array([-1.54708342,  1.27309338])"
443,11179,"array([-1.31812699,  0.93967663])"
444,11180,"array([-1.99919749,  1.63981676])"
445,14333,"array([-2.01993073,  0.2399988 ])"
446,6783,"array([-1.71670271,  2.21407241])"
447,6784,"array([-0.8886052,  1.1741052])"
448,6785,"array([-1.30879676,  1.39579198])"
449,11182,"array([-1.7185341 ,  0.86742162])"
450,11183,"array([-1.5748336 ,  0.36313719])"
451,6788,"array([-0.65355123,  0.87899281])"
452,13748,"array([-1.66911662,  0.72139219])"
453,6790,"array([-1.31937989,  1.10145678])"
454,11185,"array([-1.51733347,  0.4348898 ])"
455,11186,"array([-1.94447669,  0.77830714])"
456,6793,"array([-0.78968715,  1.60644269])"
457,6794,"array([-1.40746862,  1.25812193])"
458,6795,"array([-0.877424  ,  1.59899974])"
459,6796,"array([-1.26172261,  1.66212631])"
460,11187,"array([-1.17487148,  0.75354428])"
461,11188,"array([-1.31861746,  0.85873305])"
462,6799,"array([-1.09580534,  1.28621738])"
463,6800,"array([-0.63505692,  1.03905953])"
464,11189,"array([-1.83031581,  1.01509319])"
465,6802,"array([-1.08401843,  1.19501215])"
466,6803,"array([-1.25345159,  1.90309863])"
467,467,"array([-1.00492091, -0.06438961])"
468,6804,"array([-1.32201288,  1.58936314])"
469,6805,"array([-1.36940412,  1.52081137])"
470,11190,"array([-1.90489575,  0.48258491])"
471,6807,"array([-0.52823687,  1.14492812])"
472,11191,"array([-1.7067214 ,  0.96530995])"
473,11192,"array([-1.73410141,  0.57795464])"
474,11193,"array([-1.17564747,  0.34827656])"
475,11194,"array([-1.53744276,  0.74945316])"
476,11195,"array([-1.63651304,  1.01935514])"
477,6813,"array([-1.32605697,  1.06027114])"
478,11196,"array([-1.39570252,  0.64861015])"
479,13749,"array([-2.09541094,  0.43333191])"
480,11198,"array([-1.83849804,  0.27894237])"
481,11199,"array([-1.42935766,  0.71173161])"
482,13750,"array([-1.7289048,  0.8275424])"
483,6819,"array([-1.13521507,  1.20061368])"
484,6820,"array([-0.57880746,  1.75843003])"
485,6821,"array([-1.80190179,  1.62821452])"
486,6822,"array([-0.99393281,  1.28873504])"
487,6823,"array([-1.46414164,  1.93966435])"
488,61100,"array([-1.03002229,  0.83181215])"
489,11202,"array([-1.79417659,  0.99972401])"
490,6826,"array([-1.57449151,  1.40167371])"
491,14523,"array([-2.08566224,  0.63817847])"
492,6828,"array([-0.61511523,  0.99106875])"
493,6829,"array([-1.41835869,  1.63206166])"
494,6830,"array([-1.3441679 ,  1.42123542])"
495,6831,"array([-2.54509328,  0.47725791])"
496,11204,"array([-1.82147631,  0.85653415])"
497,497,"array([-1.03990726, -0.08949256])"
498,11205,"array([-1.78189369,  0.99524461])"
499,6834,"array([-1.35692965,  1.32796982])"
500,6835,"array([-1.40635932,  1.51591806])"
501,11206,"array([-1.99747114,  0.83348294])"
502,11207,"array([-1.28832725,  0.85430504])"
503,11208,"array([-2.10402889,  0.48186677])"
504,11209,"array([-2.20242449,  0.87213528])"
505,6840,"array([-1.19134452,  2.03466941])"
506,11210,"array([-1.85539098,  0.71170401])"
507,6842,"array([-1.28223407,  1.47318426])"
508,11211,"array([-1.75496184,  0.9907891 ])"
509,6844,"array([-1.30497371,  1.07534425])"
510,6845,"array([-0.72711789,  1.56511713])"
511,6846,"array([-1.06650507,  1.03458482])"
512,6847,"array([-1.51688555,  1.3305391 ])"
513,513,"array([-1.38413254,  1.09495542])"
514,6848,"array([-1.31519715,  1.66785614])"
515,6849,"array([-1.15354437,  0.98542532])"
516,6850,"array([-1.06671917,  1.20987325])"
517,517,"array([-1.56840821,  1.62915067])"
518,6851,"array([-0.96705272,  1.4704561 ])"
519,6852,"array([-1.4517787 ,  1.54842366])"
520,6853,"array([-0.99160989,  1.20806322])"
521,6854,"array([-0.63042439,  0.94750276])"
522,6855,"array([-1.2028538 ,  1.27779451])"
523,523,"array([-1.03655306,  0.32895676])"
524,6856,"array([-0.80474931,  1.13483632])"
525,6857,"array([-0.1387916 ,  1.35869218])"
526,6858,"array([-0.97812355,  0.60312062])"
527,6859,"array([-1.52067225,  1.29174425])"
528,11212,"array([-1.37492426,  0.8764477 ])"
529,11213,"array([-1.81762356,  0.80266254])"
530,6862,"array([-1.34673564,  1.61828917])"
531,6863,"array([-0.58385526,  1.03342233])"
532,6864,"array([-1.33149969,  1.80897536])"
533,6865,"array([-0.78324029,  1.19923062])"
534,6866,"array([-1.35374466,  0.95712541])"
535,6867,"array([-0.62470047,  1.53170094])"
536,6868,"array([-0.25732638,  1.01685685])"
537,6869,"array([-0.37297741,  0.92669341])"
538,6870,"array([-1.63069582,  1.34113898])"
539,6871,"array([-1.6865916 ,  1.35755998])"
540,11214,"array([-1.58347704,  0.76009549])"
541,6873,"array([-1.45915 ,  1.611881])"
542,11215,"array([-2.07701157,  0.59863717])"
543,6875,"array([-0.70202534,  1.09636194])"
544,544,"array([-0.52571891,  1.70977737])"
545,6876,"array([-0.87106446,  1.0866157 ])"
546,6877,"array([-1.16420613,  1.11622097])"
547,6878,"array([-1.24403791,  1.68005643])"
548,6879,"array([-1.39511946,  1.2376138 ])"
549,549,"array([-1.08618273,  0.62683489])"
550,6880,"array([-0.2677553 ,  1.04983654])"
551,11216,"array([-2.1272328 ,  1.07224363])"
552,6882,"array([-1.41495923,  2.08457135])"
553,553,"array([-1.40388988,  1.74529845])"
554,6883,"array([-0.80472062,  2.15640572])"
555,555,"array([-1.29848191,  0.52892265])"
556,6884,"array([-0.48326239,  1.47408492])"
557,557,"array([-1.80662655,  0.45330062])"
558,11217,"array([-1.82187996,  0.77165324])"
559,559,"array([-1.38948741,  1.11436038])"
560,6886,"array([-0.49265105,  1.55067766])"
561,6887,"array([-1.4878557 ,  1.62520918])"
562,6888,"array([-0.80628576,  0.83915822])"
563,13753,"array([-1.39749627,  0.9980954 ])"
564,11219,"array([-1.62959504,  0.39874774])"
565,565,"array([-0.52717492,  1.6593484 ])"
566,11220,"array([-1.93379785,  0.80062739])"
567,11221,"array([-1.42915425,  0.61608924])"
568,568,"array([-1.25495766,  0.62843349])"
569,6893,"array([-1.34858516,  1.51431088])"
570,6894,"array([-1.70444672,  1.51030749])"
571,6895,"array([-1.55845733,  1.68491338])"
572,6896,"array([-0.97256563,  2.02546909])"
573,6897,"array([-1.54816037,  1.56714852])"
574,11222,"array([-2.09359948,  1.04557115])"
575,11223,"array([-1.92747086,  0.42206421])"
576,6900,"array([-1.51375317,  1.59085816])"
577,577,"array([-1.13391973,  0.69153215])"
578,6901,"array([-1.46406947,  1.85953934])"
579,6902,"array([-1.50475058,  1.22249233])"
