# index, label, _pos
63,3491,"array([0.95156616, 8.18359537])"
64,19281,"array([0.94468796, 8.18887684])"
65,10310,"array([0.94552001, 8.18583789])"
66,14780,"array([0.94004205, 8.17714818])"
67,13062,"array([0.950817  , 8.14860335])"
68,3216,"array([0.95093609, 8.14970217])"
69,668,"array([0.92021243, 8.20470696])"
70,22388,"array([0.93308831, 8.19072153])"
71,11537,"array([0.9401806 , 8.19704178])"
72,6509,"array([0.93539214, 8.18524216])"
73,17819,"array([0.92718669, 8.1917577 ])"
74,19035,"array([0.92690974, 8.20296845])"
75,16803,"array([0.95126992, 8.20211083])"
76,36394,"array([0.95820005, 8.20534924])"
77,19024,"array([0.95739197, 8.20836472])"
78,26554,"array([0.95427177, 8.21928486])"
79,22822,"array([0.94858619, 8.19087831])"
80,14711,"array([0.95481069, 8.18905158])"
81,26769,"array([0.95515983, 8.18733942])"
82,25973,"array([0.94845693, 8.18894672])"
83,14757,"array([0.95490979, 8.20182879])"
84,21640,"array([0.94985802, 8.2002178 ])"
85,10912,"array([0.93837954, 8.20531759])"
86,16420,"array([0.94752174, 8.19497667])"
87,36431,"array([0.95932661, 8.19116726])"
88,15170,"array([0.95927289, 8.1897943 ])"
89,14627,"array([0.96048515, 8.18986834])"
90,15162,"array([0.9430814 , 8.19156972])"
91,13546,"array([0.93982221, 8.19181036])"
92,16467,"array([0.93012978, 8.19619117])"
93,13989,"array([0.94604211, 8.20216599])"
94,36492,"array([0.94675211, 8.20159503])"
95,11734,"array([0.94858286, 8.19782226])"
96,19151,"array([0.94828121, 8.19020393])"
97,13680,"array([0.95584938, 8.19300651])"
98,7911,"array([0.94992014, 8.20979565])"
99,31846,"array([0.95593603, 8.20104981])"
100,12859,"array([0.9539992 , 8.17489381])"
101,33724,"array([0.96479773, 8.19937924])"
102,17054,"array([0.96473176, 8.20702223])"
103,11096,"array([0.95317186, 8.21438584])"
104,6356,"array([0.95565136, 8.22672098])"
105,20965,"array([0.96015419, 8.17253272])"
106,10764,"array([0.93495354, 8.19296147])"
107,19401,"array([0.93902831, 8.20803605])"
108,10490,"array([0.94917333, 8.21149246])"
109,33472,"array([0.94832431, 8.19807382])"
110,32482,"array([0.9600923 , 8.19507952])"
111,6517,"array([0.95917339, 8.20072174])"
112,12284,"array([0.94225431, 8.19211009])"
113,22329,"array([0.958471  , 8.19377571])"
114,21840,"array([0.95146294, 8.18429976])"
115,33459,"array([0.95459702, 8.187053  ])"
116,27646,"array([0.94488755, 8.20361889])"
117,10425,"array([0.95652389, 8.22288831])"
118,25920,"array([0.94998145, 8.19971765])"
119,36129,"array([0.96070907, 8.19109216])"
120,14728,"array([0.96026244, 8.1926497 ])"
121,11853,"array([0.95916245, 8.21069119])"
122,20473,"array([0.94749912, 8.18678748])"
123,11306,"array([0.96014328, 8.19993416])"
124,12260,"array([0.95544656, 8.22738879])"
125,32473,"array([0.95984009, 8.19472527])"
126,32787,"array([0.95980177, 8.18529265])"
127,702,"array([0.95944331, 8.17507734])"
128,3320,"array([0.95789368, 8.17715917])"
129,32760,"array([0.95033881, 8.20663939])"
130,21904,"array([0.95972705, 8.20433423])"
131,25642,"array([0.94131952, 8.19147881])"
132,22324,"array([0.95955914, 8.19157582])"
133,7148,"array([0.96043672, 8.18771264])"
134,14695,"array([0.95161344, 8.21224556])"
135,11168,"array([0.95750054, 8.20163559])"
136,29863,"array([0.95568322, 8.20203852])"
137,14173,"array([0.95887165, 8.19506341])"
138,19897,"array([0.95567579, 8.18532037])"
139,13591,"array([0.96048944, 8.19948491])"
140,594,"array([0.9727156 , 8.19892424])"
141,23249,"array([0.9609506 , 8.19151362])"
142,559,"array([0.95813488, 8.18124144])"
143,12714,"array([0.95279137, 8.15212535])"
144,27585,"array([0.95165194, 8.19769207])"
145,27487,"array([0.95520015, 8.20847519])"
146,2386,"array([0.94351472, 8.21270133])"
147,30050,"array([0.94108584, 8.21895503])"
148,30538,"array([0.94424103, 8.21940989])"
149,1742,"array([0.95667717, 8.20606386])"
150,10578,"array([0.95671079, 8.21001103])"
151,6519,"array([0.95188324, 8.20118934])"
152,33628,"array([0.95450107, 8.21703884])"
153,16927,"array([0.94505734, 8.2150168 ])"
154,23170,"array([0.94638946, 8.21672494])"
155,21681,"array([0.9583571 , 8.22082219])"
156,10910,"array([0.96403833, 8.2128114 ])"
157,7132,"array([0.93205085, 8.20673033])"
158,14787,"array([0.9264328 , 8.20633901])"
159,14359,"array([0.9386478 , 8.20261866])"
160,19094,"array([0.95580311, 8.21878689])"
161,23306,"array([0.9613018 , 8.23072476])"
162,35903,"array([0.94314591, 8.22325758])"
163,32805,"array([0.95463025, 8.2031646 ])"
164,15184,"array([0.9506342 , 8.20235981])"
165,20115,"array([0.94889239, 8.21926224])"
166,27440,"array([0.95667161, 8.21894805])"
167,21822,"array([0.93607472, 8.20675453])"
168,22492,"array([0.95565037, 8.21334876])"
169,27432,"array([0.95444558, 8.21231354])"
170,32719,"array([0.94447477, 8.22510999])"
171,26456,"array([0.94236445, 8.22859669])"
172,14381,"array([0.94394734, 8.19167326])"
173,22335,"array([0.93355375, 8.20031732])"
174,32698,"array([0.92946703, 8.20365764])"
175,11806,"array([0.94155855, 8.23056486])"
176,14984,"array([0.93422494, 8.21624287])"
177,17232,"array([0.95345422, 8.213051  ])"
178,35422,"array([0.95147356, 8.16034911])"
179,25462,"array([0.95244071, 8.16235379])"
180,17033,"array([0.95407277, 8.2124761 ])"
181,25938,"array([0.94284473, 8.21446082])"
182,32139,"array([0.94967698, 8.22826507])"
183,4546,"array([0.95549143, 8.19978176])"
184,12178,"array([0.95985895, 8.20896686])"
185,10998,"array([0.94267243, 8.21970371])"
186,19548,"array([0.94696815, 8.19246263])"
187,19343,"array([0.9395654 , 8.21131548])"
188,6128,"array([0.9572232 , 8.19874731])"
189,26454,"array([0.95844998, 8.20951114])"
190,32927,"array([0.95291519, 8.22428269])"
191,14452,"array([0.96224771, 8.21663982])"
192,30534,"array([0.93723764, 8.20618287])"
193,12163,"array([0.94996234, 8.21716235])"
194,16948,"array([0.93989821, 8.20962064])"
195,13387,"array([0.952793  , 8.20029012])"
196,29734,"array([0.95654461, 8.22758346])"
197,12162,"array([0.94937423, 8.20424148])"
198,16477,"array([0.9440406 , 8.20764655])"
199,27542,"array([0.9342549 , 8.21774236])"
200,6988,"array([0.95285171, 8.21343191])"
201,18990,"array([0.94595701, 8.21427958])"
202,11230,"array([0.94211164, 8.22271799])"
203,20324,"array([0.94608793, 8.22787371])"
204,21594,"array([0.94344494, 8.2226527 ])"
205,12179,"array([0.95582522, 8.20665959])"
206,16759,"array([0.95547249, 8.21838677])"
207,19724,"array([0.95083392, 8.20165661])"
208,32672,"array([0.93709201, 8.20962645])"
209,11496,"array([0.9459511 , 8.20371184])"
210,109,"array([0.94750171, 8.19356651])"
211,26826,"array([0.94461672, 8.21740771])"
212,22442,"array([0.92960571, 8.19475919])"
213,16838,"array([0.94399605, 8.19933216])"
214,30082,"array([0.94392182, 8.2145753 ])"
215,22410,"array([0.94254182, 8.21888019])"
216,11090,"array([0.94224672, 8.2291177 ])"
217,30190,"array([0.93997632, 8.22922586])"
218,22773,"array([0.93776436, 8.20333334])"
219,19108,"array([0.92748776, 8.22044885])"
220,11372,"array([0.93554834, 8.22366694])"
221,32420,"array([0.95804418, 8.20932626])"
222,30140,"array([0.9562414 , 8.20409753])"
223,19406,"array([0.96210763, 8.20332517])"
224,33138,"array([0.95905759, 8.2139531 ])"
225,20357,"array([0.94586285, 8.2254456 ])"
226,23138,"array([0.93519306, 8.20682571])"
227,26419,"array([0.92728424, 8.21216302])"
228,22026,"array([0.92455065, 8.2029145 ])"
229,21686,"array([0.91685896, 8.20418529])"
230,27505,"array([0.94557026, 8.22591122])"
231,14593,"array([0.95100141, 8.22808468])"
232,33742,"array([0.95485927, 8.20866438])"
233,19597,"array([0.95845801, 8.21743836])"
234,13488,"array([0.96069673, 8.20658778])"
235,6389,"array([0.94260035, 8.20749824])"
236,6198,"array([0.95579289, 8.21939577])"
237,30066,"array([0.96145937, 8.2329266 ])"
238,22364,"array([0.96440807, 8.20319155])"
239,10937,"array([0.97626159, 8.20741635])"
240,19962,"array([0.96204509, 8.20746347])"
241,30598,"array([0.95628054, 8.21433423])"
242,22191,"array([0.95167333, 8.22936609])"
243,32940,"array([0.94392862, 8.22808146])"
244,33161,"array([0.93670202, 8.20683452])"
245,35976,"array([0.9703082 , 8.19069133])"
246,14990,"array([0.94666778, 8.20735267])"
247,25743,"array([0.94071296, 8.22331517])"
248,32012,"array([0.9526003 , 8.21577548])"
249,7914,"array([0.95014151, 8.20191893])"
250,26775,"array([0.93602086, 8.21525674])"
251,31873,"array([0.94308737, 8.2148104 ])"
252,27272,"array([0.93963031, 8.22251059])"
253,11560,"array([0.9457031 , 8.21805917])"
254,11937,"array([0.94650721, 8.22777589])"
255,39992,"array([0.94416069, 8.21986941])"
256,13449,"array([0.94080979, 8.23010264])"
257,19305,"array([0.95641359, 8.19513237])"
258,16642,"array([0.95281037, 8.19259052])"
259,22280,"array([0.94412383, 8.21856405])"
260,6307,"array([0.94950493, 8.21128868])"
261,19499,"array([0.94841072, 8.22988938])"
262,14267,"array([0.94041542, 8.21883641])"
263,32130,"array([0.95573586, 8.21228571])"
264,32328,"array([0.94904465, 8.22501285])"
265,6308,"array([0.94564683, 8.22667747])"
266,32193,"array([0.9482034 , 8.22735667])"
267,33252,"array([0.93234059, 8.21792072])"
268,13375,"array([0.94761734, 8.23071508])"
269,32138,"array([0.93496519, 8.21757056])"
270,6580,"array([0.94954553, 8.21718467])"
271,13576,"array([0.9415443 , 8.22250001])"
272,16439,"array([0.94452111, 8.20377811])"
273,32056,"array([0.95582349, 8.21513707])"
274,32551,"array([0.9431372 , 8.22645506])"
275,33040,"array([0.945499  , 8.20128471])"
276,10941,"array([0.95007769, 8.22520111])"
277,33534,"array([0.94564642, 8.21892798])"
278,32567,"array([0.9529026 , 8.21304594])"
279,29960,"array([0.94603161, 8.20901402])"
280,13815,"array([0.951771  , 8.21385989])"
281,27643,"array([0.95475368, 8.2116452 ])"
282,7845,"array([0.95287428, 8.20361288])"
283,36370,"array([0.94268697, 8.22224186])"
284,11992,"array([0.95945688, 8.20242333])"
285,20434,"array([0.96800816, 8.21485421])"
286,12180,"array([0.96205892, 8.20470639])"
287,14412,"array([0.95897804, 8.21444644])"
288,8061,"array([0.94934397, 8.22586668])"
289,27608,"array([0.94897084, 8.22635575])"
290,6318,"array([0.94525013, 8.20620804])"
291,25707,"array([0.94418018, 8.22578316])"
292,18953,"array([0.95734437, 8.22176306])"
293,19092,"array([0.93245897, 8.2015276 ])"
294,23492,"array([0.93662741, 8.20623236])"
295,8342,"array([0.94534372, 8.16395749])"
296,14018,"array([0.94158841, 8.22949911])"
297,26959,"array([0.93872314, 8.21280845])"
298,30239,"array([0.93978329, 8.22460904])"
299,20029,"array([0.93602343, 8.23629399])"
300,36377,"array([0.95809719, 8.20646893])"
301,26980,"array([0.96661636, 8.21370395])"
302,11971,"array([0.94419345, 8.22852864])"
303,27490,"array([0.97278013, 8.19037406])"
304,13471,"array([0.94137136, 8.19046336])"
305,17064,"array([0.93202579, 8.21772496])"
306,22912,"array([0.93292809, 8.21763956])"
307,16504,"array([0.95413499, 8.223855  ])"
308,14677,"array([0.95937316, 8.21847347])"
309,22647,"array([0.93751949, 8.20445772])"
310,16713,"array([0.93707606, 8.19443276])"
311,7782,"array([0.94209857, 8.19393783])"
312,32786,"array([0.93918446, 8.20397564])"
313,8047,"array([0.93588326, 8.20711264])"
314,35899,"array([0.94981959, 8.22605139])"
315,29970,"array([0.95124215, 8.20353728])"
316,16490,"array([0.95256481, 8.22459323])"
317,21703,"array([0.95034035, 8.22619144])"
318,17276,"array([0.94056762, 8.21616663])"
319,13632,"array([0.95826568, 8.21054411])"
320,11857,"array([0.94176002, 8.22558034])"
321,22855,"array([0.94784572, 8.22822342])"
322,6319,"array([0.94204896, 8.21311238])"
323,26443,"array([0.94206634, 8.22964807])"
324,21689,"array([0.95449561, 8.22547468])"
325,16810,"array([0.9591438 , 8.21961049])"
326,11426,"array([0.93083201, 8.20245162])"
327,32603,"array([0.93411752, 8.21193669])"
328,13581,"array([0.93899855, 8.22292899])"
329,17350,"array([0.9416685 , 8.20176102])"
330,19004,"array([0.93983512, 8.21193526])"
331,30308,"array([0.95543476, 8.22140196])"
332,19262,"array([0.95771481, 8.21259029])"
333,16415,"array([0.94930886, 8.22534676])"
334,30269,"array([0.93336177, 8.21764258])"
335,26809,"array([0.94832907, 8.22538878])"
336,3801,"array([0.9453503 , 8.20350652])"
337,30525,"array([0.93676738, 8.20720958])"
338,23215,"array([0.93437356, 8.19954264])"
339,32740,"array([0.9348623 , 8.20921596])"
340,27499,"array([0.9346117 , 8.21773921])"
341,30010,"array([0.93457041, 8.21734241])"
342,33087,"array([0.94718956, 8.21781692])"
343,14710,"array([0.95243902, 8.21958244])"
344,15263,"array([0.94726411, 8.21901235])"
345,30452,"array([0.95860964, 8.20655683])"
346,22180,"array([0.93816545, 8.22248293])"
347,18833,"array([0.95770955, 8.21307573])"
348,11722,"array([0.94640561, 8.21713283])"
349,27529,"array([0.95422991, 8.20321901])"
350,19757,"array([0.95363881, 8.21530994])"
351,15305,"array([0.92357756, 8.21187766])"
352,32798,"array([0.94148466, 8.2229094 ])"
353,7743,"array([0.94879655, 8.21012918])"
354,4181,"array([0.94283757, 8.19221156])"
355,3599,"array([0.93593169, 8.20781838])"
356,14871,"array([0.93557619, 8.21101448])"
357,22809,"array([0.93950462, 8.2149411 ])"
358,32367,"array([0.9196623 , 8.20150307])"
359,14021,"array([0.94961852, 8.21178081])"
360,26231,"array([0.93244003, 8.21670535])"
361,16640,"array([0.95531973, 8.2088405 ])"
362,13746,"array([0.94357048, 8.2264213 ])"
363,36138,"array([0.94570113, 8.21944878])"
364,19253,"array([0.95337268, 8.22513078])"
365,10625,"array([0.95864066, 8.20909703])"
366,10453,"array([0.93981517, 8.21392007])"
367,33753,"array([0.95430012, 8.20279385])"
368,4265,"array([0.93166111, 8.21306512])"
369,13642,"array([0.94088957, 8.2167885 ])"
370,1784,"array([0.95123042, 8.19552723])"
371,5760,"array([0.95117951, 8.21754806])"
372,10346,"array([0.95055275, 8.22432929])"
373,12216,"array([0.9398659 , 8.21791797])"
374,21619,"array([0.93956073, 8.22817023])"
375,12116,"array([0.95442041, 8.20803215])"
376,15218,"array([0.93619213, 8.22247628])"
377,26977,"array([0.93148081, 8.23442845])"
378,33148,"array([0.95390469, 8.21549267])"
379,33443,"array([0.92601639, 8.19778318])"
380,7923,"array([0.94548064, 8.22287412])"
381,11144,"array([0.94327373, 8.20598421])"
382,19291,"array([0.94570296, 8.21763033])"
383,14689,"array([0.9427902 , 8.21505502])"
384,17361,"array([0.95160496, 8.20344441])"
385,26764,"array([0.93926183, 8.21685032])"
386,6195,"array([0.95013464, 8.2062774 ])"
387,7784,"array([0.94431728, 8.19425529])"
388,7944,"array([0.92959828, 8.20932179])"
389,3585,"array([0.94333771, 8.20232791])"
390,13758,"array([0.93947282, 8.21335156])"
391,12069,"array([0.95556048, 8.21973879])"
392,23269,"array([0.95046069, 8.21026416])"
393,6261,"array([0.95721731, 8.21658068])"
394,33672,"array([0.95385608, 8.22342451])"
395,10913,"array([0.95687563, 8.20232915])"
396,30259,"array([0.96317861, 8.21646621])"
397,33034,"array([0.9484828 , 8.20629075])"
398,16484,"array([0.95458581, 8.19856759])"
399,13641,"array([0.93592145, 8.19521771])"
400,27535,"array([0.95703388, 8.21942712])"
401,14906,"array([0.92195326, 8.19464674])"
402,21509,"array([0.94684479, 8.21646523])"
403,33054,"array([0.94432573, 8.21625304])"
404,22125,"array([0.94047211, 8.21311843])"
405,14793,"array([0.95149946, 8.2104851 ])"
406,12261,"array([0.952436  , 8.22123737])"
407,36044,"array([0.94161424, 8.21112755])"
408,10242,"array([0.9436234 , 8.20207311])"
409,20310,"array([0.94078249, 8.20885455])"
410,19478,"array([0.94180671, 8.22649094])"
411,33146,"array([0.95658907, 8.2043856 ])"
412,27397,"array([0.94134893, 8.22736693])"
413,19449,"array([0.95473325, 8.22188789])"
414,20316,"array([0.95780943, 8.22015078])"
415,26835,"array([0.95593093, 8.20325622])"
416,26696,"array([0.94354799, 8.23015544])"
417,33000,"array([0.97128995, 8.19960123])"
418,22695,"array([0.93945748, 8.22212009])"
419,26383,"array([0.95953632, 8.2179921 ])"
420,14481,"array([0.95472406, 8.2240016 ])"
421,15341,"array([0.95552758, 8.22569549])"
422,21858,"array([0.94434089, 8.22804895])"
423,11004,"array([0.95428912, 8.22491527])"
424,26795,"array([0.95856209, 8.22004087])"
425,13688,"array([0.9511061 , 8.21703488])"
426,4436,"array([0.94592332, 8.18935656])"
427,33568,"array([0.9580654, 8.2192645])"
428,12006,"array([0.96115346, 8.20970185])"
429,31902,"array([0.94869311, 8.2060064 ])"
430,29778,"array([0.9509498 , 8.19621023])"
431,12082,"array([0.94794584, 8.2048346 ])"
432,12184,"array([0.94607887, 8.21828051])"
433,30460,"array([0.96913222, 8.19590725])"
434,14717,"array([0.95477129, 8.20240309])"
435,14893,"array([0.94302657, 8.22926897])"
436,32226,"array([0.94234333, 8.22306382])"
437,11530,"array([0.95991239, 8.21866745])"
438,36457,"array([0.95536495, 8.22514914])"
439,26000,"array([0.93702318, 8.22105312])"
440,16609,"array([0.94105801, 8.21509118])"
441,10571,"array([0.944649 , 8.2182602])"
442,29868,"array([0.95061993, 8.22578886])"
443,6315,"array([0.94325849, 8.19259526])"
444,18849,"array([0.93421393, 8.18896484])"
445,30199,"array([0.96081239, 8.23187461])"
446,26799,"array([0.94619932, 8.19385193])"
447,31981,"array([0.94675227, 8.20561631])"
448,11351,"array([0.96047236, 8.2074969 ])"
449,16558,"array([0.94409321, 8.21783896])"
450,14056,"array([0.94347267, 8.21725592])"
451,26732,"array([0.95673342, 8.21517909])"
452,13860,"array([0.9419828 , 8.21974908])"
453,7228,"array([0.94055467, 8.19644868])"
454,23087,"array([0.93950031, 8.20607277])"
455,20457,"array([0.94081701, 8.20300973])"
456,4266,"array([0.94383729, 8.20048042])"
457,22065,"array([0.93791239, 8.20516811])"
458,10916,"array([0.95257043, 8.21485562])"
459,18751,"array([0.93876836, 8.20550263])"
460,29930,"array([0.93725295, 8.19619425])"
461,18452,"array([0.93747492, 8.21392882])"
462,15215,"array([0.93396442, 8.21594512])"
463,14345,"array([0.92774721, 8.20943736])"
464,23178,"array([0.93132026, 8.21955972])"
465,11178,"array([0.93817211, 8.2085537 ])"
466,11025,"array([0.93327318, 8.20170401])"
467,11169,"array([0.95657926, 8.21249471])"
468,11624,"array([0.95193187, 8.20308037])"
469,3495,"array([0.94748859, 8.20248626])"
470,16983,"array([0.94081157, 8.21868105])"
471,15331,"array([0.93906367, 8.20582988])"
472,8057,"array([0.93902373, 8.1970017 ])"
473,33172,"array([0.9418043 , 8.21466655])"
474,10788,"array([0.94739496, 8.22707824])"
475,32639,"array([0.94224996, 8.23058818])"
476,14596,"array([0.9571573 , 8.20993072])"
477,14372,"array([0.94061597, 8.22376734])"
478,10877,"array([0.95598266, 8.21403637])"
479,10919,"array([0.95742845, 8.20411034])"
480,11465,"array([0.95250386, 8.22745029])"
481,13938,"array([0.94299497, 8.23023494])"
482,33160,"array([0.93546958, 8.20718608])"
483,20067,"array([0.93520619, 8.21418199])"
484,10957,"array([0.9516262 , 8.21190658])"
485,6349,"array([0.95021581, 8.20007794])"
486,23181,"array([0.94055836, 8.21022841])"
487,22057,"array([0.94509464, 8.23087688])"
488,7260,"array([0.93199349, 8.21542601])"
489,22270,"array([0.95301861, 8.22108619])"
490,11847,"array([0.95398096, 8.21038697])"
491,4565,"array([0.9404453 , 8.19275711])"
492,23514,"array([0.94705183, 8.2105536 ])"
493,26364,"array([0.94047559, 8.20954165])"
494,2631,"array([0.94738851, 8.19836912])"
495,16673,"array([0.94119358, 8.21241658])"
496,18727,"array([0.93357464, 8.21702846])"
497,29733,"array([0.95273382, 8.21678626])"
498,6253,"array([0.95881333, 8.2206695 ])"
499,26691,"array([0.94491838, 8.21794156])"
500,14432,"array([0.94049641, 8.21668976])"
501,7892,"array([0.93567591, 8.22699916])"
502,32009,"array([0.93901027, 8.22823169])"
503,17178,"array([0.94678633, 8.22746215])"
504,6388,"array([0.94852242, 8.2249838 ])"
505,17349,"array([0.94830528, 8.22691479])"
506,18848,"array([0.94943407, 8.22632034])"
507,6386,"array([0.94643863, 8.22412026])"
508,19685,"array([0.94140051, 8.23335247])"
509,18787,"array([0.93970934, 8.22669787])"
510,30678,"array([0.95156888, 8.21583847])"
511,26712,"array([0.94505516, 8.22484689])"
512,13778,"array([0.94284202, 8.19182568])"
513,32757,"array([0.94653532, 8.22965043])"
514,27220,"array([0.95354393, 8.21353082])"
515,13763,"array([0.95153586, 8.2153704 ])"
516,19111,"array([0.94268717, 8.21597743])"
517,31818,"array([0.94404345, 8.22321618])"
518,29746,"array([0.95789065, 8.21398582])"
519,30667,"array([0.95217989, 8.22706056])"
520,29745,"array([0.96751694, 8.2069242 ])"
521,14414,"array([0.9460425 , 8.21739616])"
522,14131,"array([0.94482395, 8.20898149])"
523,15121,"array([0.93942544, 8.20360756])"
524,10873,"array([0.94667389, 8.22594161])"
525,30484,"array([0.95267366, 8.20251384])"
526,14369,"array([0.93008042, 8.22078995])"
527,23172,"array([0.9486938 , 8.20668224])"
528,14888,"array([0.9514065 , 8.22452575])"
529,26915,"array([0.94759369, 8.21718219])"
530,8119,"array([0.94567515, 8.20589947])"
531,27527,"array([0.95461186, 8.2152088 ])"
532,26870,"array([0.93474723, 8.21668667])"
533,22027,"array([0.93984103, 8.20812452])"
534,21861,"array([0.94472436, 8.22718758])"
535,19920,"array([0.93907076, 8.22590493])"
536,14799,"array([0.94386699, 8.21695648])"
537,33684,"array([0.95868335, 8.21071932])"
538,14745,"array([0.95422179, 8.20918648])"
539,14487,"array([0.94487217, 8.20601693])"
540,21650,"array([0.94718634, 8.21298115])"
541,16648,"array([0.94337567, 8.21601603])"
542,22728,"array([0.9549925, 8.2257371])"
543,22318,"array([0.94863268, 8.2189577 ])"
544,30444,"array([0.95982958, 8.22137706])"
545,6830,"array([0.95478564, 8.18594081])"
546,16662,"array([0.94937409, 8.22782639])"
547,26239,"array([0.94124273, 8.21328385])"
548,20061,"array([0.93961033, 8.2155552 ])"
549,30207,"array([0.95501624, 8.20383518])"
550,33279,"array([0.95367296, 8.2146319 ])"
551,23173,"array([0.95114081, 8.22867522])"
552,31853,"array([0.95285431, 8.21455887])"
553,33176,"array([0.97162197, 8.215906  ])"
554,22528,"array([0.95622202, 8.21790885])"
555,32650,"array([0.94426814, 8.21818406])"
556,26973,"array([0.95467303, 8.21428778])"
557,22711,"array([0.9361651 , 8.20747005])"
558,12128,"array([0.95244635, 8.20398477])"
559,26461,"array([0.95875969, 8.20872243])"
560,32326,"array([0.95225245, 8.20142777])"
561,3738,"array([0.93839163, 8.19150129])"
562,35912,"array([0.95172573, 8.21497724])"
563,15104,"array([0.94907263, 8.20349686])"
564,31850,"array([0.95233596, 8.22505513])"
565,11420,"array([0.93851994, 8.2091549 ])"
566,7723,"array([0.94596401, 8.21864523])"
567,19756,"array([0.95280927, 8.22631039])"
568,15343,"array([0.94954719, 8.21003647])"
569,16644,"array([0.94046402, 8.22207848])"
570,5673,"array([0.92457282, 8.22100559])"
571,26297,"array([0.93378774, 8.22270893])"
572,14391,"array([0.93524493, 8.21319963])"
573,10911,"array([0.93529288, 8.20390067])"
574,33025,"array([0.95640808, 8.20492518])"
575,14669,"array([0.95599101, 8.20550824])"
576,29743,"array([0.95712767, 8.2155681 ])"
577,13804,"array([0.95648202, 8.20371351])"
578,32513,"array([0.94806338, 8.22786143])"
579,16441,"array([0.9598762, 8.1982851])"
580,21734,"array([0.95312596, 8.19920398])"
581,15009,"array([0.94258036, 8.22271897])"
582,12103,"array([0.94840304, 8.21079629])"
583,17307,"array([0.95279176, 8.18734021])"
584,23143,"array([0.94368858, 8.22563376])"
585,7342,"array([0.94002119, 8.2015833 ])"
586,12175,"array([0.94997977, 8.22789224])"
587,32219,"array([0.95860686, 8.21188874])"
588,25639,"array([0.94658125, 8.22506634])"
589,36154,"array([0.94354331, 8.22766053])"
590,19577,"array([0.94745912, 8.22972079])"
591,14685,"array([0.95752626, 8.21559385])"
592,26170,"array([0.94088296, 8.21213722])"
593,12067,"array([0.94573374, 8.20666295])"
594,26643,"array([0.94178081, 8.22901812])"
595,706,"array([0.94105106, 8.22365083])"
596,23056,"array([0.95710893, 8.20378298])"
597,13418,"array([0.94329956, 8.21917207])"
598,27206,"array([0.94231313, 8.21787308])"
599,31771,"array([0.93949898, 8.20271257])"
600,19275,"array([0.95304713, 8.22479645])"
